countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,74.869,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,72.917,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2023,75.327,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1990,7.51,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1991,7.62,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1992,7.73,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1993,7.84,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1994,7.95,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1995,8.06,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1996,8.106,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1997,8.152,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1998,8.198,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1999,8.244,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2000,8.29,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2001,8.328,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2002,8.366,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2003,8.404,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2004,8.442,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2005,8.48,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2006,8.538,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2007,8.596,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2008,8.654,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2009,8.712,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,8.77,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2011,8.82,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2012,8.87,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2013,8.92,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2014,8.97,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,9.02,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,9.06,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,9.1,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,9.14,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,9.18,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,9.22,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,9.282,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,9.282,
BRN,Brunei Darussalam,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2023,9.282,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1990,0.531,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1991,0.538,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1992,0.545,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1993,0.555,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1994,0.565,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1995,0.575,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1996,0.585,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1997,0.595,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1998,0.591,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),1999,0.595,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2000,0.6,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2001,0.608,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2002,0.617,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2003,0.625,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2004,0.624,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2005,0.638,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2006,0.646,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2007,0.649,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2008,0.653,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2009,0.663,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.67,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2011,0.678,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2012,0.686,
