Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
IDN,Indonesia,2013,0.69,69.064,7.703333537,23281742361.5305,3566.60284506078,33741655596.421017,Medium
IDN,Indonesia,2014,0.693,69.292,7.800000191,25120732059.5134,3441.06808464008,36249252611.130455,Medium
IDN,Indonesia,2015,0.701,69.52,7.909999847,19779127976.9576,3288.22269725538,28215589125.474464,High
IDN,Indonesia,2016,0.705,69.733,7.980000019,4541713739.23769,3521.46943457574,6442147147.854879,High
IDN,Indonesia,2017,0.712,69.953,8.239589691,20510310832.4469,3798.88326174526,28806616337.70632,High
IDN,Indonesia,2018,0.715,70.08,8.159999847,18909826043.5105,3860.95353090726,26447309151.76294,High
IDN,Indonesia,2019,0.714,70.349,8.360000134,24993551748.0098,4106.94856160358,35004974436.98852,High
IDN,Indonesia,2020,0.71,68.817,8.56000042,19175077747.8077,3853.70288774146,27007151757.47564,High
IDN,Indonesia,2021,0.707,67.452,8.6972232,21213080329.8582,4287.17313995098,30004356902.20396,High
IDN,Indonesia,2022,0.726,70.925,8.6972232,24702029705.0926,4730.83484836107,34024834304.535267,High
IDN,Indonesia,2023,0.728,71.146,8.6972232,21543358781.3828,4876.30774512252,29592525798.60275,High
KHM,Cambodia,1992,0.396,55.747,2.926551222,33000000.0,307.094922385136,83333333.33333333,Low
KHM,Cambodia,1993,0.399,56.036,2.981018174,54124000.0,294.059372727558,135649122.8070175,Low
KHM,Cambodia,1994,0.4,56.221,3.035485126,68900000.0,302.1307854832,172250000.0,Low
KHM,Cambodia,1995,0.404,56.562,3.089952078,150800000.0,343.485224671585,373267326.7326732,Low
KHM,Cambodia,1996,0.408,56.832,3.146513913,293600000.0,324.655870983004,719607843.137255,Low
KHM,Cambodia,1997,0.414,57.266,3.203075747,203700000.0,297.59041960803,492028985.5072464,Low
KHM,Cambodia,1998,0.419,57.859,3.259637582,115871733.049308,258.780953189377,276543515.6308067,Low
KHM,Cambodia,1999,0.429,58.611,3.316199417,102225822.011715,286.753596443196,238288629.39793703,Low
KHM,Cambodia,2000,0.438,59.491,3.372761251,118308566.31088,296.426687526334,270110881.9883105,Low
KHM,Cambodia,2001,0.453,60.457,3.435607734,146481995.063844,327.500984314444,323359812.5029669,Low
KHM,Cambodia,2002,0.473,61.395,3.498454217,130956363.872694,350.147276634294,276863348.56806344,Low
KHM,Cambodia,2003,0.488,62.345,3.5613007,81580650.5580651,386.691123931778,167173464.25833014,Low
KHM,Cambodia,2004,0.502,63.256,3.624147183,131416229.281784,444.199067529081,261785317.29439044,Low
KHM,Cambodia,2005,0.514,64.113,3.686993666,379180190.600282,525.797325120926,737704650.9733113,Low
KHM,Cambodia,2006,0.525,64.886,3.808496866,483209382.712787,612.252648550727,920398824.2148324,Low
KHM,Cambodia,2007,0.534,65.549,3.930000067,867288538.643543,731.692295125426,1624135840.1564474,Low
KHM,Cambodia,2008,0.539,66.147,4.03000021,815180217.958376,866.283999789749,1512393725.3402152,Low
KHM,Cambodia,2009,0.539,66.747,3.940000057,928393617.348897,875.748936193569,1722437137.9385843,Low
KHM,Cambodia,2010,0.543,67.311,3.872000027,1404315448.88529,952.274616324008,2586216296.289668,Low
KHM,Cambodia,2011,0.547,67.869,3.803999996,1538883424.9002,1088.98152823081,2813315219.1959777,Low
KHM,Cambodia,2012,0.551,68.371,3.735999966,1988102944.64495,1192.80263041673,3608172313.330218,Medium
KHM,Cambodia,2013,0.554,68.755,3.667999935,2068470774.00468,1305.6600972686,3733701758.131191,Medium
KHM,Cambodia,2014,0.557,69.117,3.599999905,1853471158.0992,1431.56396469993,3327596334.1098742,Medium
KHM,Cambodia,2015,0.562,69.398,3.670000076,1822804151.25711,1547.32010444393,3243423756.685249,Medium
KHM,Cambodia,2016,0.57,69.635,3.952092528,2475915853.65762,1675.19555711109,4343712023.960737,Medium
KHM,Cambodia,2017,0.578,69.842,4.23418498,2788084321.65815,1826.35391688754,4823675296.98642,Medium
KHM,Cambodia,2018,0.586,69.993,4.516277432,3212633447.04469,2036.67377566578,5482309636.595035,Medium
